"title";"description";"year";"director";"country";"image_url";"genres"
"300: Rise of an Empire";"Based on Frank Miller's latest graphic novel Xerxes and told in the breathtaking visual style of the blockbuster ""300,"" this new chapter of the epic saga takes the action to a fresh battlefield--on the sea--as Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. ""300: Rise of an Empire"" pits Themistokles against the massive invading Persian forces led by mortal-turned-god Xerxes and Artemesia, the vengeful commander of the Persian navy.";"2014";"Noam Murro";"США";"http://example.com/image.jpg";"Action,War"
"The Smurfs";"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours -- in fact, smack dab in the middle of Central Park. Just three apples high and stuck in the Big Apple, the Smurfs must find a way to get back to their village before Gargamel tracks them down.";"2011";"Raja Gosnell";"США";"http://example.com/image.jpg";"Animation,Family,Adventure,Comedy,Fantasy"
"Home on the Range";"When a greedy outlaw schemes to take possession of the ""Patch Of Heaven"" dairy farm, three determined cows, a karate-kicking stallion and a colorful corral of critters join forces to save their home. The stakes are sky-high as this unlikely animal alliance risk their hides and match wits with a mysterious band of bad guys.";"2004";"Will Finn";"США";"http://example.com/image.jpg";"Animation,Family"
"Allegiant";"Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.";"2016";"Robert Schwentke";"США";"http://example.com/image.jpg";"Adventure,Science fiction"
"Real Steel";"In the near-future, Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After Charlie's robot is trashed, he reluctantly teams up with his estranged son Max to rebuild and train an unlikely contender.";"2011";"Shawn Levy";"India";"http://example.com/image.jpg";"Action,Science fiction,Drama"
"The Smurfs 2";"The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?";"2013";"Raja Gosnell";"США";"http://example.com/image.jpg";"Fantasy,Family,Comedy,Animation"
"Speed 2: Cruise Control";"Sandra Bullock and Jason Patric star as a young couple whose dream cruise turns to terror when a lunatic computer genius (Willem Dafoe) sets a new course for destruction.";"1997";"Jan de Bont";"США";"http://example.com/image.jpg";"Action,Adventure,Thriller"
"Ender's Game";"Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future.";"2013";"Gavin Hood";"США";"http://example.com/image.jpg";"Science fiction,Action,Adventure"
"Live Free or Die Hard";"John McClane is back and badder than ever, and this time he's working for Homeland Security. He calls on the services of a young hacker in his bid to stop a ring of Internet terrorists intent on taking control of America's computer infrastructure.";"2007";"Len Wiseman";"Великобритания";"http://example.com/image.jpg";"Action,Thriller"
"The Lord of the Rings: The Fellowship of the Ring";"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.";"2001";"Peter Jackson";"New Zealand";"http://example.com/image.jpg";"Adventure,Fantasy,Action"
"Around the World in 80 Days";"A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.";"2004";"Frank Coraci";"Germany";"http://example.com/image.jpg";"Action,Adventure,Comedy"
"Ali";"In 1964, a brash new pro boxer, fresh from his olympic gold medal victory, explodes on to the scene; Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.";"2001";"Michael Mann";"США";"http://example.com/image.jpg";"Drama"
"The Cat in the Hat";"Conrad and Sally Walden are home alone with their pet fish. It is raining outside, and there is nothing to do. Until The Cat in the Hat walks in the front door. He introduces them to their imagination, and at first it's all fun and games, until things get out of hand, and The Cat must go, go, go, before their parents get back.";"2003";"Bo Welch";"США";"http://example.com/image.jpg";"Comedy,Fantasy,Family"
"I, Robot";"In 2035, where robots are common-place and abide by the three laws of robotics, a techno-phobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.";"2004";"Alex Proyas";"США";"http://example.com/image.jpg";"Action,Science fiction"
"Kingdom of Heaven";"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.";"2005";"Ridley Scott";"Germany";"http://example.com/image.jpg";"Drama,Action,Adventure,History,War"
